product_id,תאור,סעיף,"סה""כ",101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,121,122,123,124,127,128,129,131,132,134,136,138,141,144,146,148,150,151,152,153,154,155,156
,,,,יפו,חיפה,בילו,ראשון לציון,באר שבע,ירקון,קריות,רעננה,אשדוד,תל אביב,חולון,ירושלים,חדרה,סגולה,נתניה,נס ציונה,עין המפרץ,כפר סבא,רמת גן,טבריה,מודיעין,אשקלון,אור יהודה,עפולה,ירושלים מערב,קריית שמונה,פרדס חנה,יריד גיימינג,נתיבות,"ב""ש גראנד קניון",עודפים אשדוד,עודפים עכו,נצרת עלית,בית שמש,מח קסטינה,מח כרמיאל,"מח גרנד ב""ש דוכן",מח נתניה גנדן,מח עפולה מרחביה,מח אילת,מח צ'ק פוסט חיפה
221891,גריל גז CALIFORNIA CHEF 4B,מלאי,60,,,,2,3,2,1,,2,,6,2,1,1,,2,5,1,1,1,1,1,3,1,1,3,1,,3,,,,1,2,2,2,,4,2,,3
209707,מאורר הוריקן ג.ל 92 אדום- קלאסיק,מלאי,110,5,2,3,1,2,2,5,-1,2,6,2,9,3,3,3,3,5,3,4,3,6,3,3,3,4,3,5,,3,,,,3,2,4,2,,1,2,,1
216251,מברשת מיני טורביין TANGLE FREE,מלאי,18,,2,1,,1,1,,2,2,1,,,1,1,1,1,,3,-2,,1,,2,-1,-1,,3,,-6,,,,3,1,1,,,,2,-3,1
221265,שואב אבק שארק ROCKET HV300,מלאי,76,1,1,2,3,3,2,3,5,3,3,1,2,2,3,3,2,4,,4,3,1,2,2,1,1,2,1,,1,,,,4,3,1,4,,1,1,,1
226936,מאוורר מפוחJET STYLE FUA-555 מותג STRIKE AIR,מלאי,132,2,5,3,6,7,2,8,1,10,4,5,3,1,10,6,6,9,2,5,3,5,5,2,2,5,,1,,,,,,2,,3,2,,3,3,,1
212799,מיקרוגל שארפ '32ל R-395Z כסוף,מלאי,53,1,1,1,3,3,,1,1,1,1,2,5,4,1,1,1,1,2,1,1,1,2,3,1,1,1,1,,3,,,,2,2,1,,,,2,,1
209877,"מיחם זק""ש 5357 נרוס' 60'כ",מלאי,31,3,,4,,3,2,,3,,,,3,,,,,,,,4,,,,,,,5,,,,,,4,,,,,,,,
229829,מיקרו 25 ל' סאוטר נירוסטה +גריל MW770,מלאי,73,1,3,3,1,6,1,2,1,3,2,1,1,3,1,2,2,3,1,2,5,1,4,1,2,2,4,1,,3,,,,1,2,3,1,,,2,,2
229830,מיקרו 20 ל' סאוטר מכני MW387,מלאי,88,3,2,1,2,3,4,3,3,1,2,2,5,2,2,6,1,1,4,3,3,5,2,,,2,5,4,,2,,,,2,1,3,2,,,3,,4
229831,מעבד מזון +בלנדר סאוטר אדום FP635R,מלאי,50,2,1,1,,3,1,,3,,2,1,,3,1,1,1,1,2,1,1,1,,1,1,1,3,3,,1,,,,,2,,6,,3,1,,2
229832,מעבד מזון +בלנדר סאוטר נירוסטה FP635S,מלאי,40,1,1,1,1,,1,,2,,3,2,1,,,1,1,2,1,-1,1,3,,,6,,1,3,,1,,,,2,3,,,,2,,,1
230547,מטחנת בשר סאוטר MG975,מלאי,71,1,1,3,1,4,2,2,2,5,2,1,4,1,1,2,3,4,2,2,2,2,1,1,1,1,5,3,,1,,,,5,2,2,2,,-1,,,1
231131,ט.אובן סאוטר T0223B שחור ,מלאי,85,1,,3,4,4,2,,1,2,,2,2,2,3,1,2,6,3,4,1,1,2,3,2,,5,4,,1,,,,6,4,1,3,,6,2,,2
232313,מיקרוגל 23 ל' סאוטר  לבן MW577W,מלאי,88,3,3,3,2,3,3,2,,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,,3,3,3,,3,,,,3,3,3,,,3,,,3
202282,מט'קפה תבלינים בושMKM6003,מלאי,23,,,,,1,,,3,1,,5,1,,,1,1,,1,,,,,1,2,,,2,,,,,,,,,1,,1,1,,1
216366,קוצץ משולב בוש MMR08R2 אדום,מלאי,31,,1,1,1,1,,,1,1,1,1,1,,2,3,1,,4,1,2,,,,2,,1,2,,,,,,,1,,1,,,2,,
230395,מצנם מייסטר ME232,מלאי,179,5,9,3,4,1,-2,1,1,5,2,3,1,4,,1,6,7,4,1,5,14,1,6,4,5,11,19,,4,,,,3,9,6,26,,8,1,,1
232014,טוסטר לחיצה מייסטר ME374,מלאי,106,3,4,3,6,4,5,,4,5,2,10,,6,,3,2,1,4,1,4,1,,,3,3,5,11,,2,,,,4,1,,1,,,4,,4
216903,מיקרוגל מידאה 823 '23ל לבן,מלאי,10,,1,,2,1,2,,,,-7,,,,,,1,,,1,,,,,1,,,-2,,,,,,,,,9,,,1,,
212872,בלנדר פיליפס HR2100 לבן,מלאי,95,5,4,3,,2,1,2,2,1,10,2,3,5,1,1,9,,2,1,2,4,1,3,4,5,9,6,,,,,,1,1,1,1,,1,1,,1
216168,בלנדר מוט בראון MQ100 -ברימאג,מלאי,100,,,5,1,-1,3,6,1,8,7,2,,3,5,4,2,2,,1,5,2,4,4,2,2,1,3,,1,,,,7,5,2,2,,4,5,,2
217763,מסחטת מיץ בראון J500,מלאי,56,1,1,3,,8,1,2,1,1,1,2,,3,,2,,2,3,1,2,3,2,1,1,1,1,4,,,,,,2,1,2,1,,1,1,,1
229188,מעבד מזון בראון FP3010,מלאי,62,1,1,3,1,1,3,3,3,1,1,1,2,1,,2,3,,3,4,2,2,2,1,4,,2,5,,1,,,,1,1,1,1,,2,,,3
209536,טוסטר גריל כרומקס TG500,מלאי,82,2,1,4,4,1,,2,3,3,3,,,3,,3,3,5,7,4,3,3,4,2,1,3,1,2,,,,,,1,2,2,3,,4,2,,1
231983,מנגל גריל גז CH-715 G כרומקס ברימאג ,מלאי,13,1,,,,2,,,,3,,,,,3,1,,,,1,,,,,,,,1,,,,,,,,,,,1,,,
212483,מ.מזון+בלנדר קנווד FP-190,מלאי,83,3,3,4,3,3,2,,4,2,3,4,5,4,,2,2,3,3,1,2,4,1,,2,,2,2,,2,,,,5,2,2,3,,1,3,,1
200668,מיחם 60 גולד ליין ATL136,מלאי,70,7,3,3,2,2,3,2,4,1,-1,,,,,1,,3,4,1,3,,,11,1,3,2,1,,1,,,,2,2,,2,,,1,,6
202161,מיחם 68 30ג.ליין כוסות/בטיחותי,מלאי,166,4,5,6,3,9,5,5,7,4,3,5,,6,8,3,5,11,4,6,3,3,5,6,7,4,6,1,,4,,,,4,,7,3,,4,2,,8
204334,מחבת חשמלי גולד ליין 234,מלאי,141,1,2,6,7,5,2,1,1,8,7,6,4,6,2,4,1,6,4,6,2,1,4,3,6,1,7,1,,1,,,,4,6,8,6,,5,1,,6
